Username,Comment,Comment_Time
sukmha05,No. 10 🔥,2024-09-24 13:28:50
skmrylz,No.10,2024-09-24 13:29:06
nurulfarahputri,No.10,2024-09-24 13:29:27
rainbowskm_,No.10,2024-09-24 13:29:44
nur.husni.50746,No.10,2024-09-24 13:29:57
sgtrius17_,No. 10🔥,2024-09-24 13:30:13
haxelnutchoco,7,2024-09-24 15:04:07
muhammaddirgasaputra,8,2024-09-24 16:19:34
syana.nr,9 bestttt🙌,2024-09-24 16:22:30
muhammaddirgasaputra,Menyala 8,2024-09-24 17:12:20
iyadh_renaldy,No.7,2024-09-24 17:21:41
sintiaainii,no. 9,2024-09-24 19:17:34
degol.degol.3954,anadalanku no 10,2024-09-24 19:59:46
arlan.maulanaa,menyala 8🔥,2024-09-24 23:11:20
yusufrahman071092,10 is the best👍👍👍👍👍,2024-09-25 00:20:24
yusufrahman071092,10 andalan 😎😎,2024-09-25 00:20:52
iermha13,No.8 dongsss,2024-09-25 00:45:57
4m3l_x7ml,Menyala 8,2024-09-25 01:12:17
4m3l_x7ml,No 8,2024-09-25 01:12:27
icaa_tryy,menyala abangku 7🔥🔥🔥,2024-09-25 04:09:25
hikmaarn_,Menyala abangku 7🔥🔥🔥,2024-09-25 04:09:31
_aaaquagirll,Menyala abangku 7 🔥🔥🔥,2024-09-25 04:09:44
sulviahsyafitri,menyala abangku 7🔥🔥🔥,2024-09-25 04:09:52
izzanurhafiza,menyala abangku 7🔥🔥🔥,2024-09-25 04:10:04
isyanaaay,menyala abangku 7 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,2024-09-25 04:10:11
_tnmardian,Menyala abangku 7 🔥🔥🔥🔥,2024-09-25 04:10:14
mmuhajir.4,Menyala abangku 7 🔥🔥🔥,2024-09-25 04:10:20
ditaorsweetie,menyala abangku 7🔥🔥🔥,2024-09-25 04:10:22
nadyaaulia466,Menyala abangku 07 🔥🔥🔥,2024-09-25 04:10:25
audreey.yy,menyalaa abangkuu 7 🔥🔥🔥,2024-09-25 04:10:26
rhmayyi_,menyala abangku 7🔥🔥🔥,2024-09-25 04:10:28
inndz27,Menyala Abangku 7 🔥🔥🔥,2024-09-25 04:10:40
_rakaavzz,Menyala Abangku 7🔥🔥,2024-09-25 04:10:41
nevisahadindaputri,Menyala abangku no. 7🔥🔥,2024-09-25 04:10:41
putry.61,menyalaa bangku 7🔥🔥🔥🔥🔥🔥,2024-09-25 04:10:47
ilvy0u7,Menyala abangku 7 🔥🔥🔥,2024-09-25 04:11:06
qinaa.0s,menyalaa abangkuu 7🔥🔥🔥,2024-09-25 04:12:07
ychiblov,menyala abangku no.7 🔥🔥🔥,2024-09-25 04:12:16
_putrirahmadani00,Menyala abangku 7🔥🔥🔥,2024-09-25 04:16:16
fitrianiririn,No.9 🔥,2024-09-25 04:59:31
jeni_rara,No 9🔥,2024-09-25 04:59:58
gby_audrey,No. 9 🔥🔥🔥,2024-09-25 05:18:21
gilbert_aja,9 you're amazingg💥,2024-09-25 09:21:41
rhann_1948,Menyala abangku 7🔥🔥🔥,2024-09-25 10:40:20
difa_inkm,No 9,2024-09-25 11:31:48
blueskyouth,9🙌,2024-09-25 11:41:59
vinasvr,no.9,2024-09-25 11:45:54
arsyadriskllah,No. 9 nah😎😎,2024-09-25 12:20:00
hamzier_pratama,No 7,2024-09-25 13:39:19
akmal_washiatul,No. 7 dongg,2024-09-25 13:43:44
inharr_,No 7🤘🔥,2024-09-25 13:46:16
jurmida_gassing06,No 7🔥,2024-09-25 13:48:16
syarwin_amir,No 7 Kapten,2024-09-25 13:53:46
andiwidya09,No 7,2024-09-25 14:12:11
_rhima,9🔥,2024-09-25 14:18:18
hildaaash_,09 dongg😎🔥🔥🔥🔥,2024-09-25 14:23:27
alif.bagas_alkahfi,9 👏,2024-09-25 14:23:43
saapphiireee,9🔥🔥,2024-09-25 14:25:01
ainunzakinah__,No 9🔥👏,2024-09-25 14:26:20
mayangbusrann,9😎,2024-09-25 14:26:26
zzzeyb,9.🔥,2024-09-25 14:28:15
shngrcdicht3_,No. 9🔥🔥,2024-09-25 14:29:14
rheyyy97,No.9,2024-09-25 14:33:39
sindjun_,No.9😎🔥,2024-09-25 14:37:34
adriantoibrahiiim,9 👏,2024-09-25 14:39:27
_oliviaaaaa27,9,2024-09-25 14:40:40
mutiaratasyaa,9 🔥🔥🔥🔥🔥👍,2024-09-25 14:43:41
__anangggg,9,2024-09-25 14:46:00
herrawahyunia,No.9🔥🔥🔥💥💥💥💥💥,2024-09-25 14:46:49
wahyu_dinata98,9 🔥🔥🔥😎,2024-09-25 14:50:11
helcewilly,No.7,2024-09-25 14:54:20
ucisdrmn,9 🔥🔥🔥😎,2024-09-25 14:57:31
alqhadry,9🔥,2024-09-25 14:58:37
yhanialbaehaqi,No.9🔥🔥,2024-09-25 15:03:22
nurlailahramadhanii,No.9🔥,2024-09-25 15:04:53
miftahul_khairia_,Hiduppp 9🔥🔥🔥🔥,2024-09-25 15:06:16
sriayu9080,No 9,2024-09-25 15:08:27
auliasafiina,no.9🔥,2024-09-25 15:09:09
midasalnaf,9 🔥,2024-09-25 15:14:09
st.khdijaaa,9,2024-09-25 15:15:21
reskioamaliah29,No 9 🙌🔥,2024-09-25 15:18:31
rnandaaa_,9🔥🔥🔥,2024-09-25 15:20:03
_fadyawww,9🔥,2024-09-25 15:21:07
ayusuryaningsih9,9 doong 🔥,2024-09-25 15:25:44
attadotcodotid,9mo saya🔥,2024-09-25 15:26:52
nrwhynngsh,9🔥🔥🔥,2024-09-25 15:27:17
_raafli,9 🔥,2024-09-25 15:30:11
azizahyusuf_,9 🔥,2024-09-25 15:38:48
hendriyyy__,9🔥,2024-09-25 15:40:53
aa.prmstya,9👍🏻,2024-09-25 15:43:04
firms.244,No 9,2024-09-25 16:44:46
_namakumahal,9🔥🔥🔥,2024-09-25 17:33:09
ainunmmmm,9🔥,2024-09-25 17:35:05
andimuhayyul,No.09,2024-09-25 17:46:33
mfaa_99,09 🔥🔥🔥,2024-09-25 17:53:20
st.farisya,no. 9😍,2024-09-25 19:08:27
ulandariecha_,No.9🔥,2024-09-25 19:35:15
nanas__27,9,2024-09-25 22:38:56
mgfrhrmdhniii_,09🔥,2024-09-25 23:08:11
prityywidyy,no 9,2024-09-25 23:09:00
arieff__26,09🔥,2024-09-25 23:17:43
hendrikdn.09,9🔥,2024-09-25 23:17:45
wawatssss_,No.09 🙌,2024-09-25 23:20:15
muh_aryarahman,No 9 🔥,2024-09-25 23:20:41
raani_z,9🔥🔥,2024-09-25 23:21:11
ainiilamane,No. 9🔥,2024-09-25 23:41:22
notbiwa,No 9🔥🔥🔥,2024-09-26 00:07:27
maulanafr_,9 🔥,2024-09-26 00:19:08
indahsoeharto,No 9,2024-09-26 00:42:21
nurullhumaira_,9🔥🔥,2024-09-26 02:02:53
devonnayla,7,2024-09-26 03:04:43
mhmmd_kemal19,9,2024-09-26 03:05:55
naanaa_laa,No. 7 suka bergaul 🤩,2024-09-26 03:13:06
auliaaslfa,No 7🙌,2024-09-26 03:20:04
beferinasidauruk,no. 7 👍,2024-09-26 03:25:34
sitytri_alone,No 7 andalanku,2024-09-26 03:26:42
staisywanaaaa,no 7 andalanku,2024-09-26 03:28:22
che.match,no.7 andalanji🔥,2024-09-26 03:28:35
svbrlnx_m,Andal ji no 7,2024-09-26 03:32:27
fasxsaf,no 7 andalanku,2024-09-26 03:35:05
flssyytdl_,No.7,2024-09-26 03:36:58
sfnaxy_26,No 7 andalan,2024-09-26 03:40:20
only.mutea,no 7,2024-09-26 03:41:41
nhartydinda,No. 7 🔥🔥,2024-09-26 04:12:50
__machaaaa,No.7🔥🔥🔥,2024-09-26 04:12:53
__sriiii05,No. 7 🔥🔥,2024-09-26 04:14:32
__bndeng__,No 7🔥🔥,2024-09-26 04:17:27
nisaa.nkm,9 👍,2024-09-26 04:24:56
rhmt_1013,No 7,2024-09-26 04:39:48
decxztfa,No 7,2024-09-26 04:50:09
nurayhu1215,No. 7 🔥🔥🔥🔥,2024-09-26 04:51:05
dwi.nir,No 7🔥🔥🔥,2024-09-26 04:59:06
onha28,no 7🔥,2024-09-26 05:18:12
ocengnii,No 7,2024-09-26 07:45:36
ode.amelia,9💥,2024-09-26 07:45:44
selviaamhas,9🔥,2024-09-26 08:07:48
umhyyyyyyy,9,2024-09-26 08:41:53
iqbalpatiraja,No 9🔥,2024-09-26 09:22:39
daily_murti,9🔥🔥🔥,2024-09-26 09:51:38
nurliajamal123,No.7🔥🔥,2024-09-26 10:14:17
fionakhrnnsah_,7,2024-09-26 13:10:32
_adinagara,Menyala nomor 9🔥,2024-09-27 00:13:18
mariaria3200,7🔥,2024-09-14 05:46:50
andiarfiana,07 🔥🔥🔥,2024-09-14 05:50:50
fahmisalmanzm,Nomor 7 apa sih kurangnya? Kurang sinar ? Nyalain Abang ku💥,2024-09-14 05:51:32
muhfarhanfar,No 7 🔥,2024-09-14 05:52:46
valdy_syamsul,No 7 kasi menyala🔥 terus wok mu 👏😎,2024-09-14 05:53:53
ichal256,No. 7 chef adalan ku🔥,2024-09-14 05:56:51
nurulafidah_paradisa,No. 07 🔥🔥🔥🔥🔥,2024-09-14 05:58:35
fiiduppa,7 chef andalan,2024-09-14 06:04:16
niza.alka,No 7 👏,2024-09-14 06:08:43
rahmadanildanil53,No 7 🔥🔥🔥,2024-09-14 06:10:16
rahmadanildanil53,No.7 🔥🔥🔥🔥,2024-09-14 06:10:28
rahmadanildanil53,No.7 Fikar 🔥🔥🔥🔥,2024-09-14 06:11:00
keken_d_law,No 7 the best🔥,2024-09-14 06:12:42
rhenyvioletangriany,Nomor 7 ji 👏,2024-09-14 06:19:00
andi.rio.9883,No. 7 abangku ji,2024-09-14 06:19:15
ibnuuhasyim,"No.7, 🔥abangku",2024-09-14 06:20:29
doelattaboy,No. 7 Chef andalanku...🔥🔥🔥,2024-09-14 06:21:50
aldhy19_insta,Cheff andalan terbait @zulfikar_as26 🔥🔥,2024-09-14 06:22:49
kahfi_vj,No.7 🔥🔥🔥,2024-09-14 06:28:01
irsyadisra,No 7 Fikar 🔥🔥🔥 gass full,2024-09-14 06:28:33
wandy_milano77,No 7 🔥🔥🔥,2024-09-14 06:31:05
nurhamdiii,nomor 7,2024-09-14 06:31:24
ramadhaniiia,Menyala No. 7 🔥🔥,2024-09-14 06:35:23
akbar111187,7 🔥,2024-09-14 06:36:01
harianto_arifinn,Di mana pun berada 7 lahh yang handal,2024-09-14 06:50:36
tuty2990,No 7 mantap🔥,2024-09-14 06:52:03
billyanugrah93,No.7 chef andalanku,2024-09-14 06:53:14
billyanugrah93,Bnyk na kenalanku,2024-09-14 06:53:23
ekhy_maulana,No. 7👏,2024-09-14 06:53:53
navita_yanti,No 7,2024-09-14 06:54:14
navita_yanti,No 7 andakan,2024-09-14 06:54:27
dimaezt_dhalgren,7,2024-09-14 06:54:35
_ylywan,Tetap dihati no.7 dong🔥,2024-09-14 06:57:10
sty_nha27,02🔥,2024-09-14 07:06:32
zulf.ikar661,2,2024-09-14 07:07:59
amran913,No. 7 andalan,2024-09-14 07:08:57
miftah_13,No 7 🔥💥,2024-09-14 07:15:58
rohandi_rustam,Nomor 7,2024-09-14 07:18:57
__huda.99,7,2024-09-14 07:22:34
tian_mubaraq26,07🔥,2024-09-14 07:22:52
zhakicivil,No. 7 Andalanga 🔥🔥🔥,2024-09-14 07:24:34
geriansyahh,No. 7 sudah pasti @zulfikar_as26 🔥🔥,2024-09-14 07:29:04
jihanmahalini,gass No. 7,2024-09-14 07:32:42
il.ham_2,No 7 menyalah 🔥,2024-09-14 07:36:40
immankyb,No 7 😎😎,2024-09-14 07:40:37
itssaldy,No. 5,2024-09-14 07:45:46
trynrwn_,No . 7 🙌,2024-09-14 07:48:02
gadistampi,Nomor 07,2024-09-14 07:48:11
just.dit,Nmr 7 manyala,2024-09-14 07:51:18
andalan_nahel01,No 2🔥,2024-09-14 07:51:35
nraa2004_,02🔥🔥,2024-09-14 07:52:14
oziel678,No 7..chef zulfikar👏👏,2024-09-14 07:55:11
immank_30,No 7 😎😎,2024-09-14 07:55:44
wiliam_yl,02🔥🔥,2024-09-14 07:57:16
ikhamamozt,Nomor 7,2024-09-14 07:58:13
bb_tiar,No.7,2024-09-14 08:02:48
banghemi_,No 7🔥,2024-09-14 08:27:13
andreas_arnold_talo,No 7 mantap bro menyala bos ku🔥🔥,2024-09-14 08:28:43
syahroelmuhajir,Kalo saya No.7  andalanga andina CR7 👍,2024-09-14 08:30:36
mamang_recingg,02 menyaka🔥🔥🔥,2024-09-14 08:38:28
tuti.tutess,Bismillah No 7 andalangaaa 💥💥💥 @zulfikar_as26,2024-09-14 08:50:20
_rriiiii,Andalanku no.7,2024-09-14 08:56:40
dewiandika18,No 11,2024-09-14 08:57:50
dewiandika18,No 11,2024-09-14 08:57:54
ftimahputry,no 7 andalanku,2024-09-14 09:12:28
ningsihh31_,Namber 7 donggggg🔥🔥🔥🔥,2024-09-14 09:14:51
wahyuu.nurdin,no 7 . zulfikar @zulfikar_as26,2024-09-14 09:23:55
jhosuaf,7👍,2024-09-14 09:24:24
maggietuhumury,Nomor 7🔥🔥🔥,2024-09-14 09:32:10
andryfirmansyah02,No.7 andalanga...,2024-09-14 09:37:58
omuchup,7,2024-09-14 09:57:53
omuchup,Nassami 7 nakke,2024-09-14 09:58:37
adrz_12,Nomor  12,2024-09-14 10:04:46
chan_sardy15,No 7 chef lagi gacor,2024-09-14 10:05:01
ibnularabi.rahman,No 7 🔥🔥,2024-09-14 10:14:30
julita010783,No 5 menyalah 🔥🔥🔥,2024-09-14 10:17:49
ruditacofffe01mks,No 5 menyala abangku🔥,2024-09-14 10:21:34
rf_ammangjie,Kasi Bintangnya untuk No. 7 Andalan 👍👍,2024-09-14 10:26:34
muhalfianamri8,no 7,2024-09-14 10:42:03
mytha_binolombangan,No 7 dong,2024-09-14 10:42:31
sucifidila20_,no.5🔥🔥,2024-09-14 10:52:23
tian_mubaraq26,No.7 🔥🔥🔥,2024-09-14 10:54:23
dyan_hardyanti,No. 7,2024-09-14 11:27:04
hansyurado,12  Yanti ji👍,2024-09-14 11:34:13
km.viewpoint_,02 chua jiii,2024-09-14 11:38:47
andiugaaaaa_,No. 5👏🏻,2024-09-14 11:59:00
febykirania,No. 1 dinatri🔥🔥🔥,2024-09-14 12:08:05
ndutie_cutiepie,No 1 💥💥,2024-09-14 12:09:11
winarsih.amin,No. 7,2024-09-14 12:15:25
muhalifridh0,No 1,2024-09-14 12:15:31
versatilee.official,No 1,2024-09-14 12:16:39
foufou.id,No 1,2024-09-14 12:17:29
sobatlapar__,No 1 🦖🦖🦖,2024-09-14 12:18:29
vhianaparerungan_,No. 7 bestie 🕺💃,2024-09-14 12:57:02
vicka1302,Nomor 2 🔥🔥🔥🔥,2024-09-14 13:07:50
andrian_fdt,12 kasir terbaik 😀😀😀👏,2024-09-14 13:38:42
jundinata,07.... my susu,2024-09-14 13:49:47
dengkaraeng,"TOMMY Dongg,, No 5👍🔥",2024-09-14 14:05:56
tri.kurniaa,No 7 🔥🔥🔥,2024-09-14 14:27:45
kimjuraa,9,2024-09-14 14:42:48
iermasdrmn,No. 7,2024-09-14 14:48:55
yuni.thomas,no 8 kasih menyala🔥,2024-09-14 15:26:30
irvan_evendy_,No 7 andalanku jie👍👍👍👍,2024-09-14 15:32:08
y.nhaaa_,No 8 🔥,2024-09-14 15:34:52
nadyarais_,No. 7 🔥🔥🔥,2024-09-14 15:55:00
erla.n4523,Nomor 2,2024-09-14 16:18:21
najihahamirah,Nombor 7,2024-09-14 16:38:08
fidiniseptiana,7 gaskeun🔥🔥,2024-09-14 16:39:12
m.rzky.mln,🔥🔥🔥 No 7.,2024-09-14 17:59:11
jvtasptiawati_,no 8 🔥,2024-09-14 22:06:03
niktaputri_,7🔥,2024-09-14 23:17:21
_putrajt.11,No 8 kasih menyala 🔥,2024-09-15 00:06:33
ilfan06,No 7 🔥🔥🔥,2024-09-15 00:08:29
_traa.11,No 8 dong 🔥,2024-09-15 00:09:42
efendifakhriansyah,Nomor 8 dongg🔥😎,2024-09-15 00:11:36
aisyahputriana07_,No.7🔥🔥,2024-09-15 00:39:18
muhf.ajar24,No 7🔥🔥🔥🔥,2024-09-15 02:48:43
firaa.a___,No.7 sih no debat😎😎,2024-09-15 03:20:01
amran_arfan,Nomor 7,2024-09-15 04:20:45
angelintracy,No. 9 the best,2024-09-15 04:44:20
muhammadihsann17,bet all in no. 9,2024-09-15 04:47:38
a.arnetaateko,9🔥,2024-09-15 04:49:45
ekowardanaa___,No 9 🔥🔥👏👏,2024-09-15 05:01:14
dwayynr,No 9😎,2024-09-15 05:04:53
dika_ptraprtama,9 🔥🔥🔥,2024-09-15 05:05:01
auroraaepell,No 9 nyalain sendiri🔥🔥🔥🔥,2024-09-15 05:07:04
_sakmal,No . 9🔥,2024-09-15 05:07:18
nindafebby_,No. 9 🫶,2024-09-15 05:10:46
annisaaarry,9 dongggg tak terkalakan🔥🔥,2024-09-15 05:10:56
07_ratnadewirahim,No.9 andalan ka🔥🔥🔥,2024-09-15 05:11:53
mysrzlabd,MARCELLL NO.09,2024-09-15 05:12:43
murniati_misi45,"No 9, menyala abangku🔥",2024-09-15 05:18:43
wisssnaaaa,No. 9 🔥,2024-09-15 05:19:28
ariesme45_,No 9🔥,2024-09-15 05:19:36
rosaliasesiliaasmin,9🔥,2024-09-15 05:25:27
wulandariocaca,9 mo sy👍😎,2024-09-15 05:26:09
rfkynaufal,9,2024-09-15 05:28:23
viiiole2000,9,2024-09-15 05:29:06
annisareginaaa,NO. 9,2024-09-15 05:35:33
oliviajmarth,No 9👀,2024-09-15 05:36:30
megaevelin,No 9🔥🔥,2024-09-15 05:37:03
sandy_margo22,No. 9 menyala🔥,2024-09-15 05:39:49
klvinn18_,9,2024-09-15 05:41:11
clvnalfari,Marcelll dong No.9,2024-09-15 05:43:03
_saturnux__,NOMOR 9 GA SIH,2024-09-15 05:48:22
celiaamnda,9 🔥🔥🔥,2024-09-15 05:51:07
achmat98,No.9🔥🔥🔥🔥,2024-09-15 05:54:42
kakbebb_,No 9 🔥🔥🔥,2024-09-15 05:54:55
rahmawathyishak,Nomor 9 🔥🔥,2024-09-15 05:55:08
firis.id,no 9,2024-09-15 05:56:32
karmila_1199,Nmor 9 dongg,2024-09-15 05:58:19
sndtheresia,Menyala no 9 🔥🔥,2024-09-15 06:08:01
vaccabond,9,2024-09-15 06:17:22
nade_vyzla,No. 9👍,2024-09-15 06:28:51
pallhits_st,9 jangan sampai lolos 🙌🔥🔥,2024-09-15 06:30:33
keyygabriel_,nomor 9 donggg 🙌🙌🔥,2024-09-15 06:31:42
au.xue,9🙌,2024-09-15 06:37:49
gunawan_supaha,No 9🔥,2024-09-15 06:40:43
aryo.nugrahaa,No. 9🙌,2024-09-15 06:50:10
k.a.t_2530,Aaaaa no. 9 andalankuuu,2024-09-15 06:55:13
erzafahlevi_,No 9🔥🔥🔥🔥🔥🔥,2024-09-15 06:56:49
michelle_ecclesia,No.9 🔥👍,2024-09-15 06:57:59
juandymardhy,9,2024-09-15 07:06:22
fandi_irwan_8967,No 2,2024-09-15 07:13:13
kaharcaka0108,Nomor 9,2024-09-15 07:34:00
indh_82_,No.9,2024-09-15 07:44:28
nyomb_jbgun11,Sy pilih no 7 karna konsisten dalam bekerja 👍,2024-09-15 07:50:41
nutellamoc_ca,NO.5🔥🔥🔥🔥,2024-09-15 07:50:43
tujuhbelass____,2🔥🔥🔥,2024-09-15 08:00:42
rama_danu17,2,2024-09-15 08:02:44
raung_trip,14,2024-09-15 08:06:02
mithabahri_,no 9 donggg🔥🔥,2024-09-15 08:08:34
geminigurl___,nomor 9 🔥🔥,2024-09-15 08:09:57
padaidi_outdoor,14😍,2024-09-15 08:11:47
porenjeseja,Nomor 14 @ngghy_06 😀,2024-09-15 08:13:52
_ariskawanda,14🔥,2024-09-15 08:14:08
rararauf,Nomor 5 🔥,2024-09-15 08:15:56
arfanziddiq,No. 5 Tomy Tampan (TT)😎,2024-09-15 08:16:41
trifachlianisyarif,No 14😍🔥🔥🔥🔥,2024-09-15 08:20:53
finnyariani22,No 9 sih no debat 😎,2024-09-15 08:24:14
fatmalafaa,7,2024-09-15 08:33:39
bang_akmal016,No 14,2024-09-15 08:36:24
bang_akmal016,Andalan no 14,2024-09-15 08:36:38
lilians.wiebe,no 9 the best,2024-09-15 08:41:54
aaan28_,14🔥,2024-09-15 08:41:58
quraisy_achmad,7..🔥👍,2024-09-15 08:44:58
elsa.chyni,14,2024-09-15 08:49:23
pinrangberlibur,No.14 andalangku saya 🔥🔥🔥,2024-09-15 08:52:13
m.sabirrr_,14,2024-09-15 08:58:56
reyyy_again,No 14 sih 🔥,2024-09-15 09:01:20
mynameisfitriii_,No.14,2024-09-15 09:05:54
andi.sirajul__,No.14,2024-09-15 09:07:20
afiatyistiarini,No. 7 bestieew 😎,2024-09-15 09:10:13
ana_kastiana,14🔥🔥,2024-09-15 09:17:07
em_emika11,No. 7,2024-09-15 09:26:03
tanetekalapadang,No. 5 🔥,2024-09-15 09:29:44
aul5p4m_,No 9,2024-09-15 09:30:18
aulqarin_,9,2024-09-15 09:30:42
bang_pinokio,Nomor 14 kasih menyala🔥,2024-09-15 09:37:08
arniyatiamin,No.7 katanya,2024-09-15 09:52:28
elfajrinn,14,2024-09-15 09:53:10
makhluk_khalus,14 nyalakan tanda bahaya 🔥🔥🔥,2024-09-15 10:03:25
ivan_fadely,No 7 Bosque,2024-09-15 10:12:55
audhytrishadela,No 9😎,2024-09-15 10:15:54
lishdacachaa,02🔥,2024-09-15 10:24:28
fadli__wijaya,No 14 🔥🔥🔥,2024-09-15 10:27:27
pngs.mh,9,2024-09-15 10:27:34
velsutxx,9,2024-09-15 10:27:43
sultanfr_,Nassa na mi nmr 9 🔥,2024-09-15 10:41:17
sunkiiistt,9!!,2024-09-15 10:51:22
aztyismi,No. 5 Tomy mantap andalan 👍,2024-09-15 11:02:34
wahyuni_ayu26,No. 7 👏,2024-09-15 11:03:19
jeddychrisye,Pokokna saya nmor 9🔥🔥🔥,2024-09-15 11:18:45
reginamn_,No. 9,2024-09-15 11:23:55
hr.renaldi_,no 5 nakke,2024-09-15 11:29:09
ademedhy,No 9 paling the best 🤭🤭🤭,2024-09-15 11:36:17
ademedhy,No 10 🔥🔥🔥,2024-09-15 11:39:18
home_shoping21,No 7 andalankh 😎🔥🔥🔥,2024-09-15 11:42:28
yanthirene,Andalan anak mudayya no 1 jie 🤪,2024-09-15 12:00:50
ucha1605,No. 7 🔥🔥🔥,2024-09-15 12:14:43
aszyfa,No.9🔥🔥🔥,2024-09-15 12:16:08
rani_door16,14,2024-09-15 12:16:22
daeng_anto02,NO2,2024-09-15 12:39:43
ulfakusumawardhani,No. 9,2024-09-15 12:44:02
faried16_,TENTUNYA NO 14 🙌,2024-09-15 12:44:36
fdhila_ila8,no.9 menyala🔥🔥🙌🙌🙌,2024-09-15 12:45:18
allaboutlibraaa,No. 9 🔥🔥,2024-09-15 12:47:24
ryni026,No 4,2024-09-15 12:50:13
maming______,No 14 🙌,2024-09-15 12:54:10
wahyuarianto_03,No.14🔥🔥😎,2024-09-15 12:54:35
nauraah___,NOMOR 2 DOONG🔥🔥🔥🔥,2024-09-15 13:03:06
rskysurydi_,02 menang 🔥🔥,2024-09-15 13:04:05
harism_catalogcukur,7,2024-09-15 13:23:18
debby.septiana,No 9 ✨🔥,2024-09-15 13:34:42
bangginyaa,No 14 🔥,2024-09-15 13:45:55
filda_bukan_pilda,14 dongg🔥,2024-09-15 14:12:38
ayusrianti.y,No. 4,2024-09-15 14:19:34
baitijannh_,No 4,2024-09-15 14:26:56
muhrimba_,Menyala NO. 9🔥,2024-09-15 14:28:36
mhmmdrimba,Kasih menyala NO. 9🔥🔥🔥,2024-09-15 14:29:22
sadstoryyyyy_,No. 9 kamu KELASSSS🔥🔥🔥,2024-09-15 14:29:57
ruang__outdoor,no 14🔥,2024-09-15 14:32:46
yandhirivandhi23,No. 7 Bos Ku jiii 🔥🔥🔥🔥Fikar Abang Kuuu,2024-09-15 14:52:20
faikahmakhyani,No. 7,2024-09-15 14:59:56
queenkkiieeuy_,No.9,2024-09-15 15:04:15
riaa_202,No.9 🔥🔥,2024-09-15 15:16:47
atykaaaaaaa,no.4,2024-09-15 15:42:08
dody6577,02 napaksa ka betulan ka ini,2024-09-15 15:50:39
winarnip,9 dong🔥🔥🔥🔥,2024-09-15 16:25:12
andiismaa__,No 2 chua,2024-09-15 16:30:58
agguuussss25,2,2024-09-15 16:48:54
nrhddgnwan_,No.2 chua,2024-09-15 22:06:28
itsmepttrii,13 maju kiiii🔥🔥,2024-09-15 23:37:44
inslstyaa__,no. 4,2024-09-15 23:45:50
sandra_lapadengan,No 2 chuaaa donk🔥🔥🔥,2024-09-15 23:50:08
dincedei,No 9 👍,2024-09-16 00:16:48
rani_fitriani22,02 😍😍😍,2024-09-16 01:02:26
hermannurlaila907,No.9,2024-09-16 01:35:19
riwayanthy3,No 4 🙌,2024-09-16 01:55:05
wahyuuu.dt,14,2024-09-16 01:56:16
an.d.ka,No 4,2024-09-16 02:17:38
indahsari629.nii,9🔥🔥🔥🔥🔥🔥🔥🔥🔥,2024-09-16 02:25:07
shintatiara18,No. 2 🔥,2024-09-16 02:39:10
shannon.wj,Nomor 9🔥,2024-09-16 02:54:43
sumintogkusuma,No 9 mntul,2024-09-16 03:07:36
itsme_thyyah03,No.4,2024-09-16 03:09:27
tiaraalu_,No.7👍,2024-09-16 03:15:59
slamethariyanto5137,Andalanku ini No.7,2024-09-16 03:17:21
dn.aries,No.12 andalan OUT YANTIIIIII,2024-09-16 03:33:58
pengelana_cintaa,No 14,2024-09-16 04:14:02
bubblefreaks_,02 dong,2024-09-16 04:35:01
ymim_paembonan,No. 9🔥,2024-09-16 04:35:33
sesillherniandarii,No.9🔥,2024-09-16 04:36:19
ainunasyfh,7,2024-09-16 04:57:27
_nurbadri19,07 ok🔥,2024-09-16 04:58:48
hamdakuuu_,No 7 🔥🔥,2024-09-16 05:00:09
octvnnous,Apotek tutup No. 7 tidak ada obat💥💥💥,2024-09-16 05:01:32
ayupratiwinurdin,No 7 dongg🔥🔥,2024-09-16 05:02:01
mutma_ishakz,No. 7 🔥,2024-09-16 05:04:12
linda__2819,No.12 no debat ayangnya bang icang 🔥,2024-09-16 05:06:07
fadel.fachriyono,7 karna mirip Ronaldo,2024-09-16 05:08:53
febyymuhtar,si cantik no 12☺️,2024-09-16 05:09:34
noerfirly,No 12,2024-09-16 05:22:07
mhrinldy23,No 7,2024-09-16 05:36:04
m_agussalim17,No 7 🔥🔥👍👍,2024-09-16 05:44:53
letpics__,9 🔥,2024-09-16 05:58:44
page.lizaa,9🔥🔥🔥,2024-09-16 06:04:15
dhia_dhyana,No. 7🔥🔥🔥,2024-09-16 06:33:10
andnrizni,No. 7🔥,2024-09-16 06:39:27
art.arthy_,No 2,2024-09-16 06:50:20
saraswatiratu02,Nomor 2 dongg chua 🔥🔥🔥,2024-09-16 06:52:05
deanartadea,No. 2 😎,2024-09-16 07:00:45
nurhikma2938,No.2 😁,2024-09-16 07:05:33
m_ozil_dadi,02 chuaaaa,2024-09-16 07:19:11
miyjumiiy,No 7 dong,2024-09-16 07:30:53
nismachae_,No. 7🔥🔥🔥,2024-09-16 07:33:00
dienardienho,No 2,2024-09-16 07:42:13
annisajafar_,No 2🔥🔥,2024-09-16 07:42:46
serlinaaa.__,Nomor 2,2024-09-16 07:43:22
mila.ever,No 2🔥,2024-09-16 07:47:39
amaldul07,02 krn temanna ini @shintatiara18,2024-09-16 07:49:42
gy_gamelow,14🔥,2024-09-16 08:03:59
