Username,Comment,Column 3
iathh,5 DEA 5 DEA 5 DEA 5 DEA,iathh5 DEA 5 DEA 5 DEA 5 DEA6dReplyComment OptionsLike
fitriliauw,no.5 of course 🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻,fitriliauwno.5 of course 🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻6dReplyComment OptionsLike
rinisuryani_p,No. 5 DEA🙌❤️,rinisuryani_pNo. 5 DEA🙌❤️6dReplyComment OptionsLike
tatuw_,DEAAAA !!!! NO 5 🔥🔥🔥,tatuw_DEAAAA !!!! NO 5 🔥🔥🔥6dReplyComment OptionsLike
iswadi.suryanto,Coblos nomor 5 Dea Dea Dea 🔥🔥🔥🔥🔥,iswadi.suryantoCoblos nomor 5 Dea Dea Dea 🔥🔥🔥🔥🔥6dReplyComment OptionsLike
ririnn.____,No. 5 Kk Dea🔥🔥,ririnn.____No. 5 Kk Dea🔥🔥6dReplyComment OptionsLike
ilowismail,No.5 Dea ji,ilowismailNo.5 Dea ji6dReplyComment OptionsLike
muthiazrm,5 tante deaaa😍,muthiazrm5 tante deaaa😍6dReplyComment OptionsLike
titishaaa,No. 5 DEA,titishaaaNo. 5 DEA6dReplyComment OptionsLike
ayu0wen,5 Deaaaaaa 👏,ayu0wen5 Deaaaaaa 👏6dReplyComment OptionsLike
mega.aris,No. 5 dea 😍👍,mega.arisNo. 5 dea 😍👍6dReplyComment OptionsLike
maesarfr_,5 Kak Dea 🔥,maesarfr_5 Kak Dea 🔥6dReplyComment OptionsLike
why.tdr,No 5 Duta Andalancuuu 🤘☕🤘,why.tdrNo 5 Duta Andalancuuu 🤘☕🤘6dReplyComment OptionsLike
ernesto_herrenauw,Vote no 5 Dea,ernesto_herrenauwVote no 5 Dea6dReplyComment OptionsLike
vespalingu,5 dea 🔥🔥😍,vespalingu5 dea 🔥🔥😍6dReplyComment OptionsLike
patrickoctaviano,5 dea 👍,patrickoctaviano5 dea 👍6dReplyComment OptionsLike
medinakamarullah,No. 5 dong 🔥🔥🔥,medinakamarullahNo. 5 dong 🔥🔥🔥6dReplyComment OptionsLike
asfar.media.broadcast,No. 5 menyala kk dea 🔥🔥🔥,asfar.media.broadcastNo. 5 menyala kk dea 🔥🔥🔥6dReplySee translationComment OptionsLike
mr.budysantoso,5 Dea 5,mr.budysantoso5 Dea 56dReplyComment OptionsLike
nientbrent,5 for sure 👏,nientbrent5 for sure 👏6dReplyComment OptionsLike
tribowokriswinarto,No 5 si humble👍,tribowokriswinartoNo 5 si humble👍6dReplyComment OptionsLike
djonigading,No 5 Dea,djonigadingNo 5 Dea6dReplyComment OptionsLike
harir.mo,5. Dea,harir.mo5. Dea5dReplyComment OptionsLike
kikinurdin,No. 2 👍,kikinurdinNo. 2 👍5dReplyComment OptionsLike
mr.ekhy,6 INSI. 🔥,mr.ekhy6 INSI. 🔥5dReplyComment OptionsLike
unisriwahyuningsih,5 Dea😍,unisriwahyuningsih5 Dea😍5dReplyComment OptionsLike
ernestrieuwpassa,5 Dea Jonas👍👍,ernestrieuwpassa5 Dea Jonas👍👍5dReplyComment OptionsLike
neodaengawing,It'5 my choice 🔥,neodaengawingIt'5 my choice 🔥5dReplyComment OptionsLike
noahmiroe_,no.5 dea,noahmiroe_no.5 dea5dReplyComment OptionsLike
noahmiroe_,no.5 dea,noahmiroe_no.5 dea5dReplyComment OptionsLike
noahmiroe_,no.5 dea,noahmiroe_no.5 dea5dReplyComment OptionsLike
noahmiroe_,no.5 dea,noahmiroe_no.5 dea5dReplyComment OptionsLike
mikhaaa_kitchen,no.5 dea,mikhaaa_kitchenno.5 dea5dReplyComment OptionsLike
mikhaaa_kitchen,no.5 dea,mikhaaa_kitchenno.5 dea5dReplyComment OptionsLike
mikhaaa_kitchen,no.5 dea,mikhaaa_kitchenno.5 dea5dReplyComment OptionsLike
__faifah,5 for Dea,__faifah5 for Dea5dReplyComment OptionsLike
s.ayunirs,5 for Dea,s.ayunirs5 for Dea5dReplyComment OptionsLike
eno_dwimeilinda,Deaa 5 the best 🔥🔥🔥🔥🔥🔥,eno_dwimeilindaDeaa 5 the best 🔥🔥🔥🔥🔥🔥5dReplyComment OptionsLike
aghocoy,No 5 donk Dea 👍,aghocoyNo 5 donk Dea 👍5dReplyComment OptionsLike
andi_rukmana13,No 5 🔥,andi_rukmana13No 5 🔥5dReplyComment OptionsLike
anchil_vny,5 Dea,anchil_vny5 Dea5dReplyComment OptionsLike
andika_dg.tawang,No 5,andika_dg.tawangNo 55dReplyComment OptionsLike
aiwajdi,no 5 lah 🔥🔥🔥🔥,aiwajdino 5 lah 🔥🔥🔥🔥5dReplyComment OptionsLike
silvanadunggio,5 dong😍 DEA🔥,silvanadunggio5 dong😍 DEA🔥5dReplyComment OptionsLike
linda.gandatama,No.5 Dea❤️❤️🔥🔥,linda.gandatamaNo.5 Dea❤️❤️🔥🔥5dReplyComment OptionsLike
jatorcoffeeroastery,No 5 Dea,jatorcoffeeroasteryNo 5 Dea5dReplyComment OptionsLike
kikyfebiyana,No 7 🔥,kikyfebiyanaNo 7 🔥5dReplyComment OptionsLike
auliaswar,No.5 Dea🔥,auliaswarNo.5 Dea🔥5dReplyComment OptionsLike
chandrikaseif,No.5,chandrikaseifNo.55dReplyComment OptionsLike
harism_catalogcukur,7,harism_catalogcukur75dReplyComment OptionsLike
connyangelia,No.5 dea🔥,connyangeliaNo.5 dea🔥5dReplyComment OptionsLike
firaa.a___,No.7👍,firaa.a___No.7👍5dReplyComment OptionsLike
styawan340,Gas no 7,styawan340Gas no 75dReplyComment OptionsLike
kiayaraaa_27,No 7,kiayaraaa_27No 75dReplyComment OptionsLike
ningsihh31_,No 7🔥🔥,ningsihh31_No 7🔥🔥5dReplyComment OptionsLike
agustinatina8224,No. 5 Dong...k dea 🥰,agustinatina8224No. 5 Dong...k dea 🥰5dReplyComment OptionsLike
nur_311_1,Gas no 7,nur_311_1Gas no 75dReplyComment OptionsLike
ittahul_,NO. 5 DEA!!!,ittahul_NO. 5 DEA!!!5dReplyComment OptionsLike
ddisnaeni,5,ddisnaeni55dReplyComment OptionsLike
oilnyadd,5 pastimi 😍,oilnyadd5 pastimi 😍5dReplyComment OptionsLike
fachrisdude,7 gass,fachrisdude7 gass5dReplyComment OptionsLike
dapurmamaanimks,vote for 5,dapurmamaanimksvote for 55dReplyComment OptionsLike
niningadhiningsih27,No. 7 🔥,niningadhiningsih27No. 7 🔥5dReplyComment OptionsLike
try_asrullah,7,try_asrullah75dReplyComment OptionsLike
jupe_bakso,Kak DEA lah No 5 andalancuu😍,jupe_baksoKak DEA lah No 5 andalancuu😍5dReplyComment OptionsLike
agungfadriansyah,No. 5,agungfadriansyahNo. 55dReplyComment OptionsLike
ddyreynaldi,No 7🔥,ddyreynaldiNo 7🔥5dReplyComment OptionsLike
gloria.jonas.18,Vote no 5 🔥🔥,gloria.jonas.18Vote no 5 🔥🔥5dReplyComment OptionsLike
nurulmuhlisah_,5 untuk Dea 🔥,nurulmuhlisah_5 untuk Dea 🔥5dReplyComment OptionsLike
dygonugroho,no. 5 Kak Dea... pas tong ulang tahun ke 5 😍🥰,dygonugrohono. 5 Kak Dea... pas tong ulang tahun ke 5 😍🥰5dReplyComment OptionsLike
cameliarieuwpassa,Pastilahh No 5 Dea🥳,cameliarieuwpassaPastilahh No 5 Dea🥳5dReplyComment OptionsLike
chiwid27,No 5😍😍😍😍,chiwid27No 5😍😍😍😍5dReplyComment OptionsLike
irha_bunga,No. 5🙌🙌,irha_bungaNo. 5🙌🙌5dReplyComment OptionsLike
jazzyywoi,5,jazzyywoi55dReplyComment OptionsLike
rezafauzul,No.5 Dea,rezafauzulNo.5 Dea5dReplyComment OptionsLike
romimakkawaru,No 5 Dea terbaik 🔥🔥🔥,romimakkawaruNo 5 Dea terbaik 🔥🔥🔥5dReplyComment OptionsLike
rei_nald_o,5 dea,rei_nald_o5 dea5dReplyComment OptionsLike
adistoy,5 dea jonass 🤛🥳,adistoy5 dea jonass 🤛🥳5dReplyComment OptionsLike
sasaaurrelia,5. Dea,sasaaurrelia5. Dea5dReplyComment OptionsLike
barongkoh,No. 5 kak deaa 🔥🔥🔥,barongkohNo. 5 kak deaa 🔥🔥🔥5dReplyComment OptionsLike
mit_adit,No.5 DEA ❤️❤️❤️❤️,mit_aditNo.5 DEA ❤️❤️❤️❤️5dReplyComment OptionsLike
al_mursalim,No. 5 Dea...,al_mursalimNo. 5 Dea...5dReplyComment OptionsLike
yunita_nursetia,NOMOR 5 DEA 🔥🔥🔥🔥,yunita_nursetiaNOMOR 5 DEA 🔥🔥🔥🔥5dReplyComment OptionsLike
leonyrny,no 5🔥🔥,leonyrnyno 5🔥🔥5dReplyComment OptionsLike
aadeliaptriiy,5❤️,aadeliaptriiy5❤️5dReplyComment OptionsLike
aadeliaptriiy,5,aadeliaptriiy55dReplyComment OptionsLike
_anggunsnq,gas no.7,_anggunsnqgas no.75dReplyComment OptionsLike
n4r3stii.tryy,Gass no.7,n4r3stii.tryyGass no.75dReplyComment OptionsLike
_febi10,gas no.7,_febi10gas no.75dReplyComment OptionsLike
mulyati_dt,No 5,mulyati_dtNo 55dReplyComment OptionsLike
aisyahputriana07_,7🔥,aisyahputriana07_7🔥5dReplyComment OptionsLike
mazedro99,Pasti 5 ghitu lhooo,mazedro99Pasti 5 ghitu lhooo5dReplyComment OptionsLike
nadyarais_,No. 7 🔥,nadyarais_No. 7 🔥5dReplyComment OptionsLike
ariyanto_290990,No.7 harly,ariyanto_290990No.7 harly5dReplyComment OptionsLike
rahmadhanyy27,7 dong🔥,rahmadhanyy277 dong🔥4dReplyComment OptionsLike
philiatesa._,5 Dea 🖐🖐,philiatesa._5 Dea 🖐🖐4dReplyComment OptionsLike
jenripat,No 5 cece Dea menuju makassar lebih baik!!!!,jenripatNo 5 cece Dea menuju makassar lebih baik!!!!4dReplySee translationComment OptionsLike
oktarina_mardhani,No. 5 dong... Dea 🖐❤️,oktarina_mardhaniNo. 5 dong... Dea 🖐❤️4dReplyComment OptionsLike
gery_andika13,No. 5 Dea🔥,gery_andika13No. 5 Dea🔥4dReplyComment OptionsLike
phia_maniezt,No 5 Dea 👍👍👍,phia_manieztNo 5 Dea 👍👍👍4dReplyComment OptionsLike
yani_arayrai,No. 5 dea 🩷,yani_arayraiNo. 5 dea 🩷4dReplyComment OptionsLike
indahyunuz,No.5 dea 🩷,indahyunuzNo.5 dea 🩷4dReplyComment OptionsLike
2ndhappyhunter,No. 5 Dea,2ndhappyhunterNo. 5 Dea4dReplyComment OptionsLike
thantyhrman,No 5 dea … dan dea 😘,thantyhrmanNo 5 dea … dan dea 😘4dReplyComment OptionsLike
suryansyah_ione,No. 5 Dea,suryansyah_ioneNo. 5 Dea4dReplyComment OptionsLike
karsonom,No. 5 Dea😍😍😍,karsonomNo. 5 Dea😍😍😍4dReplyComment OptionsLike
irfandysimbala,No. 5 dea,irfandysimbalaNo. 5 dea4dReplyComment OptionsLike
lakubetz,No.5 Dea 😍🔥,lakubetzNo.5 Dea 😍🔥4dReplyComment OptionsLike
miqdadblmr_,No 5.dea,miqdadblmr_No 5.dea4dReplyComment OptionsLike
virg1awannn_,n0. 5 dea,virg1awannn_n0. 5 dea4dReplyComment OptionsLike
andiss12345,Nomor 5 dea🔥,andiss12345Nomor 5 dea🔥4dReplyComment OptionsLike
nur_syamaprilia,5 dea,nur_syamaprilia5 dea4dReplyComment OptionsLike
arikarhdys,5 dea,arikarhdys5 dea4dReplyComment OptionsLike
ocvde,No .5 Dea,ocvdeNo .5 Dea4dReplyComment OptionsLike
dtbuyunk,Dea,dtbuyunkDea4dReplyComment OptionsLike
warisalichal,kak dea dong no 5…..🔥🔥,warisalichalkak dea dong no 5…..🔥🔥4dReplyComment OptionsLike
monica_imanuellaaaa,5 Deaaaaa,monica_imanuellaaaa5 Deaaaaa4dReplyComment OptionsLike
hamdanaaa___,no 5 dea,hamdanaaa___no 5 dea4dReplyComment OptionsLike
rakhmawatilm,Nomor 5 hidup dea👏👏👏,rakhmawatilmNomor 5 hidup dea👏👏👏4dReplySee translationComment OptionsLike
sankz.id,No 5 Dea🔥🔥🔥,sankz.idNo 5 Dea🔥🔥🔥4dReplyComment OptionsLike
madnahmd2,No 5 deaaa,madnahmd2No 5 deaaa4dReplyComment OptionsLike
tikasch_,No. 5 Deaa🔥🔥,tikasch_No. 5 Deaa🔥🔥4dReplyComment OptionsLike
naan_daaaa,No. Dea,naan_daaaaNo. Dea4dReplyComment OptionsLike
aarif_alam17,No. 5. Dea.... Maju kak.....,aarif_alam17No. 5. Dea.... Maju kak.....4dReplyComment OptionsLike
romysoewarto,"NO.5 DEA,,,🔥🔥🔥","romysoewartoNO.5 DEA,,,🔥🔥🔥4dReplyComment OptionsLike"
chaerulsidik69,No. 5,chaerulsidik69No. 54dReplyComment OptionsLike
heyitsatxn,5 dea,heyitsatxn5 dea4dReplyComment OptionsLike
iiyank_026,5 dea,iiyank_0265 dea4dReplyComment OptionsLike
myredragon,5 Dea 🔥🔥🔥,myredragon5 Dea 🔥🔥🔥4dReplyComment OptionsLike
nr__lisa,5 Dea🔥,nr__lisa5 Dea🔥4dReplyComment OptionsLike
jarangmandii__,5 dea,jarangmandii__5 dea4dReplyComment OptionsLike
fadlanbanurr.__,5  dea,fadlanbanurr.__5  dea4dReplyComment OptionsLike
imelda_tanamal,No.5 🔥,imelda_tanamalNo.5 🔥4dReplyComment OptionsLike
_fajarsyawal,5 Dea,_fajarsyawal5 Dea4dReplyComment OptionsLike
fadlanbanurr.__,5  dea,fadlanbanurr.__5  dea4dReplyComment OptionsLike
aaminarti_,5 dea,aaminarti_5 dea4dReplyComment OptionsLike
maryammaya2309,5 dea,maryammaya23095 dea4dReplyComment OptionsLike
rezaadamaisar,5 Dea,rezaadamaisar5 Dea4dReplyComment OptionsLike
andi.acca.12,5 dea,andi.acca.125 dea4dReplyComment OptionsLike
_fitrirhmdni,5 dea,_fitrirhmdni5 dea4dReplyComment OptionsLike
trisari657,No 5..DEA ❤️❤️👍🔥🔥,trisari657No 5..DEA ❤️❤️👍🔥🔥4dReplyComment OptionsLike
dwiiiiiptr_,No. 5 Deaa,dwiiiiiptr_No. 5 Deaa4dReplyComment OptionsLike
mhdytllah_1,5 DEA🔥🔥,mhdytllah_15 DEA🔥🔥4dReplyComment OptionsLike
basogalang_,5 dea,basogalang_5 dea4dReplyComment OptionsLike
muhammad2508faisal,5 dea,muhammad2508faisal5 dea4dReplyComment OptionsLike
ijah252,5 kak dea,ijah2525 kak dea4dReplyComment OptionsLike
ainnhyy,No.5 Dea,ainnhyyNo.5 Dea4dReplyComment OptionsLike
zafirahnatasyaa,5 dea,zafirahnatasyaa5 dea4dReplyComment OptionsLike
dreamchaserywx,5 dea,dreamchaserywx5 dea4dReplyComment OptionsLike
muhsuherman_k,5 dea,muhsuherman_k5 dea4dReplyComment OptionsLike
eriill_15,5 dea,eriill_155 dea4dReplyComment OptionsLike
nabilaaslsblaa,No.5 Dea,nabilaaslsblaaNo.5 Dea4dReplyComment OptionsLike
indrriiii._,No.5 Dea,indrriiii._No.5 Dea4dReplyComment OptionsLike
vitto_anhie,5 dea,vitto_anhie5 dea4dReplyComment OptionsLike
rskaacn,No.5 Dea,rskaacnNo.5 Dea4dReplyComment OptionsLike
nabila_mtiaa,5.dea,nabila_mtiaa5.dea4dReplyComment OptionsLike
asmirnd.m,5 dea,asmirnd.m5 dea4dReplyComment OptionsLike
nezh_mks,😍 No. 5 Andalanku,nezh_mks😍 No. 5 Andalanku4dReplyComment OptionsLike
fikcosss_,5 Deaa,fikcosss_5 Deaa4dReplyComment OptionsLike
lann8892,5 dea,lann88925 dea4dReplyComment OptionsLike
gsti_ngrh_,5 Dea,gsti_ngrh_5 Dea4dReplyComment OptionsLike
muhfajar_nur,5 deaaa,muhfajar_nur5 deaaa4dReplyComment OptionsLike
_ainaazira23,5 for Dea,_ainaazira235 for Dea4dReplyComment OptionsLike
valentinopesulima,5 Deaaaaaa.. 🔥🔥🔥,valentinopesulima5 Deaaaaaa.. 🔥🔥🔥4dReplyComment OptionsLike
naatunss,5dea,naatunss5dea4dReplyComment OptionsLike
tenriola_andi,5,tenriola_andi54dReplyComment OptionsLike
nrfajriiaah_,5 deaaa,nrfajriiaah_5 deaaa4dReplyComment OptionsLike
an.nisaax,5 Deaa,an.nisaax5 Deaa4dReplyComment OptionsLike
hasniyati_26,5 dea,hasniyati_265 dea4dReplyComment OptionsLike
sahi_alkhudri,5 Dea 🔥🔥🔥,sahi_alkhudri5 Dea 🔥🔥🔥4dReplyComment OptionsLike
my_f__,No.7 🔥🔥🔥,my_f__No.7 🔥🔥🔥4dReplyComment OptionsLike
iqko_,5,iqko_54dReplyComment OptionsLike
triagitara,No 5 dea,triagitaraNo 5 dea4dReplyComment OptionsLike
andhasuly,No. 5🔥,andhasulyNo. 5🔥4dReplyComment OptionsLike
maraja.ent,No. 5 kak dea the best,maraja.entNo. 5 kak dea the best4dReplyComment OptionsLike
lalapoo__96,5 dong kak,lalapoo__965 dong kak4dReplyComment OptionsLike
alfinfisabil,no 6 🔥🔥🔥,alfinfisabilno 6 🔥🔥🔥4dReplyComment OptionsLike
mellnyaaa_,5 dea,mellnyaaa_5 dea4dReplyComment OptionsLike
daeng_arf4h,5 Dea,daeng_arf4h5 Dea4dReplyComment OptionsLike
awal_andi27,5 dea,awal_andi275 dea4dReplyComment OptionsLike
myythaa6_,5 dea,myythaa6_5 dea4dReplyComment OptionsLike
suciramadhani2764,5 dea,suciramadhani27645 dea4dReplyComment OptionsLike
husnulkhatimahhhh_,5dea❤,husnulkhatimahhhh_5dea❤4dReplyComment OptionsLike
oshintrya,5 Dea,oshintrya5 Dea4dReplyComment OptionsLike
ikha.raffa,5 dea,ikha.raffa5 dea4dReplyComment OptionsLike
teman_ciko,No.5 🔥🔥🔥🔥🔥,teman_cikoNo.5 🔥🔥🔥🔥🔥4dReplyComment OptionsLike
lateafterno0n__,5 Deaa,lateafterno0n__5 Deaa4dReplyComment OptionsLike
llestarieya,4🔥🔥🔥🔥🔥,llestarieya4🔥🔥🔥🔥🔥4dReplyComment OptionsLike
uinalauddin.ac.id,5 Dea 🔥,uinalauddin.ac.id5 Dea 🔥4dReplyComment OptionsLike
althafpahlevi19,5 dea,althafpahlevi195 dea4dReplyComment OptionsLike
aydankaivan,5 dea,aydankaivan5 dea4dReplyComment OptionsLike
im_aal02,5 Deaa🙌,im_aal025 Deaa🙌4dReplyComment OptionsLike
titikz_jf,#5👍,titikz_jf#5👍4dReplyComment OptionsLike
nrfa.dillaa19,No. 5 kak deaa🫶🏻,nrfa.dillaa19No. 5 kak deaa🫶🏻4dReplyComment OptionsLike
mhmd.awalludin,No.5 kak dea,mhmd.awalludinNo.5 kak dea4dReplyComment OptionsLike
kusendangbk,5 DEA,kusendangbk5 DEA4dReplyComment OptionsLike
audreygbryllafchry,No 5 🔥🔥🔥🔥🔥,audreygbryllafchryNo 5 🔥🔥🔥🔥🔥4dReplyComment OptionsLike
ky_ikhyy,No.5 Dea🔥,ky_ikhyyNo.5 Dea🔥4dReplyComment OptionsLike
kella_shop,No.5 for Dea,kella_shopNo.5 for Dea4dReplyComment OptionsLike
afdhal.54_,5. Dea,afdhal.54_5. Dea4dReplyComment OptionsLike
cabalero_seven7,5 dea,cabalero_seven75 dea4dReplyComment OptionsLike
friskaprima_,no 7,friskaprima_no 74dReplyComment OptionsLike
erie_marlina,No 5 dong🔥,erie_marlinaNo 5 dong🔥4dReplyComment OptionsLike
risna_djamro1409,Insi lahh no. 6,risna_djamro1409Insi lahh no. 64dReplyComment OptionsLike
usman.mksr75,No 4 👍,usman.mksr75No 4 👍4dReplyComment OptionsLike
aammii_0,No 7🔥,aammii_0No 7🔥4dReplyComment OptionsLike
dhulsakha,No.5 kak dea,dhulsakhaNo.5 kak dea4dReplyComment OptionsLike
gaby8082,No 5 kak Dea 🔥,gaby8082No 5 kak Dea 🔥4dReplyComment OptionsLike
mutmainnah2804,7🔥,mutmainnah28047🔥4dReplyComment OptionsLike
v.vieyaa,4 dongg,v.vieyaa4 dongg4dReplyComment OptionsLike
f.elizsa,no.4 tante milaaaa 😍😍😍👍,f.elizsano.4 tante milaaaa 😍😍😍👍4dReplyComment OptionsLike
mefta_ar,no. 4,mefta_arno. 44dReplyComment OptionsLike
nevileww,No 4 🔥🔥🔥,nevilewwNo 4 🔥🔥🔥4dReplyComment OptionsLike
mefta_ar,no.4 🔥🔥🔥🔥,mefta_arno.4 🔥🔥🔥🔥4dReplyComment OptionsLike
an0thers1de0f.cylaa,4 dong😍,an0thers1de0f.cylaa4 dong😍4dReplyComment OptionsLike
nahdahradhiy,no.4,nahdahradhiyno.44dReplyComment OptionsLike
e3unsoo,no 4 donggg,e3unsoono 4 donggg4dReplyComment OptionsLike
suriyani956,No 4 Mila ❤️❤️❤️,suriyani956No 4 Mila ❤️❤️❤️4dReplyComment OptionsLike
hfzsipaa_,4,hfzsipaa_44dReplyComment OptionsLike
fdhlll.19,Nomor 4🔥🔥,fdhlll.19Nomor 4🔥🔥4dReplyComment OptionsLike
izhamhndraa,uhui angka 5,izhamhndraauhui angka 54dReplyComment OptionsLike
rngga_617,No 4 tante mila🙌😍,rngga_617No 4 tante mila🙌😍4dReplyComment OptionsLike
m_haaha,no. 4 dong tante 🔥🔥🙌,m_haahano. 4 dong tante 🔥🔥🙌4dReplyComment OptionsLike
krstt.r.s,no. 4,krstt.r.sno. 44dReplyComment OptionsLike
_dimasfrd,no. 4 tante mila😍,_dimasfrdno. 4 tante mila😍4dReplyComment OptionsLike
sandranasrun,"No : 5 u/ Dea Jonas . ,👍👍","sandranasrunNo : 5 u/ Dea Jonas . ,👍👍4dReplyComment OptionsLike"
farzabilqiz,No 5,farzabilqizNo 53dReplyComment OptionsLike
rabiah_hanafi,4 Mila,rabiah_hanafi4 Mila3dReplyComment OptionsLike
uly.abbas,No.6 Insi,uly.abbasNo.6 Insi3dReplyComment OptionsLike
fhia31,No 4,fhia31No 43dReplyComment OptionsLike
a.him_,Nakke 6 🔥🔥 menyala mba insi,a.him_Nakke 6 🔥🔥 menyala mba insi3dReplyComment OptionsLike
hamzah_habi,No. 5 is the greatest 😍,hamzah_habiNo. 5 is the greatest 😍3dReplyComment OptionsLike
tettaridho,No. 6 👍,tettaridhoNo. 6 👍3dReplyComment OptionsLike
hamzah_siddik,No. 6🔥,hamzah_siddikNo. 6🔥3dReplyComment OptionsLike
yusrilihzaa,No. 6 andalan gue 😍,yusrilihzaaNo. 6 andalan gue 😍3dReplyComment OptionsLike
satrianuryadin,No.6👍,satrianuryadinNo.6👍3dReplyComment OptionsLike
aghe1708,6,aghe170863dReplyComment OptionsLike
bunglonpdd,No. 6 🔥🔥🔥,bunglonpddNo. 6 🔥🔥🔥3dReplyComment OptionsLike
arman_dg.sere,No. 6 andalanku🔥🔥,arman_dg.sereNo. 6 andalanku🔥🔥3dReplyComment OptionsLike
blindedbyrage_,no 4 tante mila,blindedbyrage_no 4 tante mila3dReplyComment OptionsLike
dizafaradila,No 6 🥰,dizafaradilaNo 6 🥰3dReplyComment OptionsLike
amiruddinngerang,No.5 andalan cuuuu👍👍,amiruddinngerangNo.5 andalan cuuuu👍👍3dReplyComment OptionsLike
azkaazka4949,No 5 tetap dea,azkaazka4949No 5 tetap dea3dReplyComment OptionsLike
felsthi,No 5 😍,felsthiNo 5 😍3dReplyComment OptionsLike
andrypratamasartono,VOTE no 5 Dea Jonas 🎉🎉,andrypratamasartonoVOTE no 5 Dea Jonas 🎉🎉3dReplyComment OptionsLike
cinta1st,Menyala No. 5 🔥🔥🔥🔥🔥,cinta1stMenyala No. 5 🔥🔥🔥🔥🔥3dReplyComment OptionsLike
_mhzky,no 6 mantap🤝,_mhzkyno 6 mantap🤝3dReplyComment OptionsLike
miiadnurr,No. 5 DEAAAA😍,miiadnurrNo. 5 DEAAAA😍3dReplyComment OptionsLike
miiluuvvv,No.5 DEAAA,miiluuvvvNo.5 DEAAA3dReplyComment OptionsLike
inafitriana234,No.5 dea,inafitriana234No.5 dea3dReplyComment OptionsLike
fita_safitri,No. 5 🔥🔥🔥,fita_safitriNo. 5 🔥🔥🔥3dReplyComment OptionsLike
almafaiqah,No. 5 Dea ❤️❤️,almafaiqahNo. 5 Dea ❤️❤️3dReplyComment OptionsLike
ummatharaskinclinic,No. 5 DEA🥰,ummatharaskinclinicNo. 5 DEA🥰3dReplyComment OptionsLike
santoskalia,5 dea jonas 👍👍,santoskalia5 dea jonas 👍👍3dReplyComment OptionsLike
melayest,No. 5 kak Dea🤩,melayestNo. 5 kak Dea🤩3dReplyComment OptionsLike
dwimuthiahs,No.5 Dea,dwimuthiahsNo.5 Dea3dReplyComment OptionsLike
fardysatrio,No.5 Dea,fardysatrioNo.5 Dea3dReplyComment OptionsLike
rivaijuniar,No 5 Dea🥰🥰🥰,rivaijuniarNo 5 Dea🥰🥰🥰3dReplyComment OptionsLike
suarnigthas,No. 6,suarnigthasNo. 63dReplyComment OptionsLike
rsksintanr_,Mbaa dea no 5 🥳🥳👏,rsksintanr_Mbaa dea no 5 🥳🥳👏3dReplyComment OptionsLike
turungkacelebes,"5 dea, menyala 🔥🔥","turungkacelebes5 dea, menyala 🔥🔥3dReplyComment OptionsLike"
taufik.akhmad0583,No.5 Dea,taufik.akhmad0583No.5 Dea3dReplyComment OptionsLike
inibarahhh_,No. 5 kk Deaa,inibarahhh_No. 5 kk Deaa3dReplyComment OptionsLike
imansnoorjatno,No.5 ..Komunikasi 👍🏻👍🏻👍🏻,imansnoorjatnoNo.5 ..Komunikasi 👍🏻👍🏻👍🏻3dReplyComment OptionsLike
mrezariza,no 5 dea,mrezarizano 5 dea3dReplyComment OptionsLike
azy200115,Dea no 5,azy200115Dea no 53dReplyComment OptionsLike
umii_alhanan205,Vote No. 5 👍,umii_alhanan205Vote No. 5 👍3dReplyComment OptionsLike
ayiinsyam,No.5 🔥🔥🔥,ayiinsyamNo.5 🔥🔥🔥3dReplyComment OptionsLike
ishafiera,No 5 Dea doong😍,ishafieraNo 5 Dea doong😍3dReplyComment OptionsLike
sayhiibebe_,NO. 5 DEAAA😍😍,sayhiibebe_NO. 5 DEAAA😍😍3dReplyComment OptionsLike
iksan.ibrahim.186,No  5 Dea Favorit,iksan.ibrahim.186No  5 Dea Favorit3dReplyComment OptionsLike
nitaarif_oppo,No.5 Dea,nitaarif_oppoNo.5 Dea3dReplyComment OptionsLike
maman_properti,Kk Dea no 5 🫰👍👍,maman_propertiKk Dea no 5 🫰👍👍3dReplyComment OptionsLike
arsymitaa,NO 5 DEA,arsymitaaNO 5 DEA3dReplyComment OptionsLike
maryolosari,No.5 DEA,maryolosariNo.5 DEA3dReplyComment OptionsLike
fachrurozicee,No 6 mantap👏,fachruroziceeNo 6 mantap👏3dReplyComment OptionsLike
rachmawatyandidjamro,No.6 kesayangan.,rachmawatyandidjamroNo.6 kesayangan.3dReplyComment OptionsLike
manisan_gregeat10,sy sih 5 yessss  andalangcu,manisan_gregeat10sy sih 5 yessss  andalangcu3dReplyComment OptionsLike
noodookie,5 Baji 👍👍👍👍👍,noodookie5 Baji 👍👍👍👍👍3dReplyComment OptionsLike
redyadiantousman,Yess 5 Dea,redyadiantousmanYess 5 Dea3dReplyComment OptionsLike
rizal_ijas,No. 6,rizal_ijasNo. 63dReplyComment OptionsLike
shaggylosari,5 DEA,shaggylosari5 DEA3dReplyComment OptionsLike
padiresidence_marketing,Wattunna mi no.6🤘,padiresidence_marketingWattunna mi no.6🤘2dReplyComment OptionsLike
diedin,No.5 gasskan🔥,diedinNo.5 gasskan🔥2dReplyComment OptionsLike
